DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,EDUCATION_LEVEL:Education Level,WEALTH_QUINTILE:Wealth Quintile,RESIDENCE:Residence,UNIT_MEASURE:Unit of measure,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,SOURCE_LINK:Citation of or link to the data source,SERIES_FOOTNOTE:Series footnote,OBS_STATUS:Observation Status,DATA_SOURCE:Data Source,OBS_CONF:Observation confidentaility,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided,OBS_FOOTNOTE:Observation footnote,FREQ_COLL:Time interval at which the source data are collected
UNICEF:EDUCATION(1.0): Education,NPL: Nepal,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,M: Male,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2019,15.16926,,,,AD: Adjusted,MICS 2019,,EOF: End of fieldwork,2019,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NPL: Nepal,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q1: Lowest,_T: Total,PCNT: %,2019,20.39383,,,,AD: Adjusted,MICS 2019,,EOF: End of fieldwork,2019,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NPL: Nepal,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q2: Second,_T: Total,PCNT: %,2019,18.40379,,,,AD: Adjusted,MICS 2019,,EOF: End of fieldwork,2019,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NPL: Nepal,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q3: Middle,_T: Total,PCNT: %,2019,14.97014,,,,AD: Adjusted,MICS 2019,,EOF: End of fieldwork,2019,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NPL: Nepal,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q4: Fourth,_T: Total,PCNT: %,2019,11.72352,,,,AD: Adjusted,MICS 2019,,EOF: End of fieldwork,2019,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NPL: Nepal,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q5: Highest,_T: Total,PCNT: %,2019,6.776643,,,,AD: Adjusted,MICS 2019,,EOF: End of fieldwork,2019,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NPL: Nepal,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,_T: Total,R: Rural,PCNT: %,2019,17.22227,,,,AD: Adjusted,MICS 2019,,EOF: End of fieldwork,2019,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NPL: Nepal,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,_T: Total,U: Urban,PCNT: %,2019,13.88045,,,,AD: Adjusted,MICS 2019,,EOF: End of fieldwork,2019,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NPL: Nepal,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2019,15.06072,,,,AD: Adjusted,MICS 2019,,EOF: End of fieldwork,2019,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NRU: Nauru,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",F: Female,ISCED11_02: Pre-primary education,_T: Total,_T: Total,PCNT: %,2011,97.7,,,,AD: Adjusted,Population and Housing Census 2011,F: Free,EOF: End of fieldwork,2011,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NRU: Nauru,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",M: Male,ISCED11_02: Pre-primary education,_T: Total,_T: Total,PCNT: %,2011,96.9,,,,AD: Adjusted,Population and Housing Census 2011,F: Free,EOF: End of fieldwork,2011,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NRU: Nauru,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,_T: Total,_T: Total,PCNT: %,2011,97.3,,,,AD: Adjusted,Population and Housing Census 2011,F: Free,EOF: End of fieldwork,2011,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NRU: Nauru,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,F: Female,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2011,97.7,,,,AD: Adjusted,Population and Housing Census 2011,,EOF: End of fieldwork,2011,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NRU: Nauru,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,M: Male,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2011,96.9,,,,AD: Adjusted,Population and Housing Census 2011,,EOF: End of fieldwork,2011,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NRU: Nauru,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2011,97.3,,,,AD: Adjusted,Population and Housing Census 2011,,EOF: End of fieldwork,2011,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NRU: Nauru,ED_ROFST_L1: Out-of-school rate for children of primary school age,F: Female,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2011,2.3,,,,AD: Adjusted,Population and Housing Census 2011,,EOF: End of fieldwork,2011,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NRU: Nauru,ED_ROFST_L1: Out-of-school rate for children of primary school age,M: Male,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2011,3.1,,,,AD: Adjusted,Population and Housing Census 2011,,EOF: End of fieldwork,2011,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NRU: Nauru,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2011,2.7,,,,AD: Adjusted,Population and Housing Census 2011,,EOF: End of fieldwork,2011,,0: Not Known
UNICEF:EDUCATION(1.0): Education,NZL: New Zealand,ED_MAT_L1: Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,F: Female,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2015,58.3714,,,,,UNSD Global SDG Database,,,2015,,
UNICEF:EDUCATION(1.0): Education,NZL: New Zealand,ED_MAT_L1: Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,M: Male,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2015,58.91403,,,,,UNSD Global SDG Database,,,2015,,
UNICEF:EDUCATION(1.0): Education,NZL: New Zealand,ED_MAT_L1: Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2019,56,,,,,UNSD Global SDG Database,,,2019,,
UNICEF:EDUCATION(1.0): Education,NZL: New Zealand,ED_MAT_L2: Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics,F: Female,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2018,77.83929,,,,,UNSD Global SDG Database,,,2018,,
UNICEF:EDUCATION(1.0): Education,NZL: New Zealand,ED_MAT_L2: Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics,M: Male,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2018,78.59706,,,,,UNSD Global SDG Database,,,2018,,
UNICEF:EDUCATION(1.0): Education,NZL: New Zealand,ED_MAT_L2: Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics,_T: Total,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2018,78.22116,,,,,UNSD Global SDG Database,,,2018,,
UNICEF:EDUCATION(1.0): Education,NZL: New Zealand,ED_READ_L1: Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,F: Female,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2016,92.519,,,,,UNSD Global SDG Database,,,2016,,
UNICEF:EDUCATION(1.0): Education,NZL: New Zealand,ED_READ_L1: Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,M: Male,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2016,87.80289,,,,,UNSD Global SDG Database,,,2016,,
UNICEF:EDUCATION(1.0): Education,NZL: New Zealand,ED_READ_L1: Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2016,89.97345,,,,,UNSD Global SDG Database,,,2016,,
UNICEF:EDUCATION(1.0): Education,NZL: New Zealand,ED_READ_L2: Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in reading,F: Female,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2018,85.6099,,,,,UNSD Global SDG Database,,,2018,,
UNICEF:EDUCATION(1.0): Education,NZL: New Zealand,ED_READ_L2: Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in reading,M: Male,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2018,76.53444,,,,,UNSD Global SDG Database,,,2018,,
UNICEF:EDUCATION(1.0): Education,NZL: New Zealand,ED_READ_L2: Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in reading,_T: Total,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2018,81.03644,,,,,UNSD Global SDG Database,,,2018,,
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_15-24_LR: Youth literacy rate for 15-24 years,F: Female,_T: Total,_T: Total,_T: Total,PCNT: %,2018,98.97943,,,,,UIS,,,2018,,
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_15-24_LR: Youth literacy rate for 15-24 years,M: Male,_T: Total,_T: Total,_T: Total,PCNT: %,2018,98.35663,,,,,UIS,,,2018,,
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_15-24_LR: Youth literacy rate for 15-24 years,_T: Total,_T: Total,_T: Total,_T: Total,PCNT: %,2018,98.61783,,,,,UIS,,,2018,,
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,F: Female,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2014,98,,,,AD: Adjusted,MICS 2014,,EOF: End of fieldwork,2014,,0: Not Known
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,M: Male,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2014,97.1,,,,AD: Adjusted,MICS 2014,,EOF: End of fieldwork,2014,,0: Not Known
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,R: Rural,PCNT: %,2014,97.3,,,,AD: Adjusted,MICS 2014,,EOF: End of fieldwork,2014,,0: Not Known
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,U: Urban,PCNT: %,2014,97.7,,,,AD: Adjusted,MICS 2014,,EOF: End of fieldwork,2014,,0: Not Known
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2014,97.5,,,,AD: Adjusted,MICS 2014,,EOF: End of fieldwork,2014,,0: Not Known
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_MAT_L1: Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,F: Female,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2015,35.2698,,,,,UNSD Global SDG Database,,,2015,,
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_MAT_L1: Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,M: Male,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2015,29.02122,,,,,UNSD Global SDG Database,,,2015,,
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_MAT_L1: Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2019,33,,,,,UNSD Global SDG Database,,,2019,,
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_MAT_L2: Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics,F: Female,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2015,27.25279,,,,,UNSD Global SDG Database,,,2015,,
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_MAT_L2: Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics,M: Male,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2015,19.79972,,,,,UNSD Global SDG Database,,,2015,,
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_MAT_L2: Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics,_T: Total,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2019,27,,,,,UNSD Global SDG Database,,,2019,,
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_READ_L1: Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,F: Female,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2016,68.15518,,,,,UNSD Global SDG Database,,,2016,,
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_READ_L1: Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,M: Male,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2016,50.0589,,,,,UNSD Global SDG Database,,,2016,,
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_READ_L1: Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2016,59.06262,,,,,UNSD Global SDG Database,,,2016,,
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_ROFST_L1: Out-of-school rate for children of primary school age,F: Female,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2014,2,,,,AD: Adjusted,MICS 2014,,EOF: End of fieldwork,2014,,0: Not Known
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_ROFST_L1: Out-of-school rate for children of primary school age,M: Male,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2014,2.9,,,,AD: Adjusted,MICS 2014,,EOF: End of fieldwork,2014,,0: Not Known
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,R: Rural,PCNT: %,2014,2.7,,,,AD: Adjusted,MICS 2014,,EOF: End of fieldwork,2014,,0: Not Known
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,U: Urban,PCNT: %,2014,2.4,,,,AD: Adjusted,MICS 2014,,EOF: End of fieldwork,2014,,0: Not Known
UNICEF:EDUCATION(1.0): Education,OMN: Oman,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2014,2.5,,,,AD: Adjusted,MICS 2014,,EOF: End of fieldwork,2014,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_15-24_LR: Youth literacy rate for 15-24 years,F: Female,_T: Total,_T: Total,_T: Total,PCNT: %,2019,65.18558,,,,,UIS,,,2019,,
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_15-24_LR: Youth literacy rate for 15-24 years,M: Male,_T: Total,_T: Total,_T: Total,PCNT: %,2019,79.72925,,,,,UIS,,,2019,,
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_15-24_LR: Youth literacy rate for 15-24 years,_T: Total,_T: Total,_T: Total,_T: Total,PCNT: %,2019,72.70356,,,,,UIS,,,2019,,
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",F: Female,ISCED11_02: Pre-primary education,_T: Total,_T: Total,PCNT: %,2018,60.64874,,,,AD: Adjusted,DHS 2017-18,F: Free,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",M: Male,ISCED11_02: Pre-primary education,_T: Total,_T: Total,PCNT: %,2018,60.92789,,,,AD: Adjusted,DHS 2017-18,F: Free,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,Q1: Lowest,_T: Total,PCNT: %,2018,27.4566,,,,AD: Adjusted,DHS 2017-18,F: Free,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,Q2: Second,_T: Total,PCNT: %,2018,49.06264,,,,AD: Adjusted,DHS 2017-18,F: Free,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,Q3: Middle,_T: Total,PCNT: %,2018,66.91079,,,,AD: Adjusted,DHS 2017-18,F: Free,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,Q4: Fourth,_T: Total,PCNT: %,2018,81.86714,,,,AD: Adjusted,DHS 2017-18,F: Free,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,Q5: Highest,_T: Total,PCNT: %,2018,89.29633,,,,AD: Adjusted,DHS 2017-18,F: Free,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,_T: Total,R: Rural,PCNT: %,2018,51.77037,,,,AD: Adjusted,DHS 2017-18,F: Free,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,_T: Total,U: Urban,PCNT: %,2018,76.83242,,,,AD: Adjusted,DHS 2017-18,F: Free,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,_T: Total,_T: Total,PCNT: %,2018,60.78493,,,,AD: Adjusted,DHS 2017-18,F: Free,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,F: Female,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2018,58.80197,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,M: Male,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2018,64.93063,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q1: Lowest,_T: Total,PCNT: %,2018,38.06507,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q2: Second,_T: Total,PCNT: %,2018,59.00512,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q3: Middle,_T: Total,PCNT: %,2018,69.32808,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q4: Fourth,_T: Total,PCNT: %,2018,76.55698,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q5: Highest,_T: Total,PCNT: %,2018,79.65369,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,R: Rural,PCNT: %,2018,57.08017,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,U: Urban,PCNT: %,2018,72.25056,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2018,61.93465,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,F: Female,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2018,32.67026,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,M: Male,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2018,33.68027,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q1: Lowest,_T: Total,PCNT: %,2018,12.85495,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q2: Second,_T: Total,PCNT: %,2018,23.97218,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q3: Middle,_T: Total,PCNT: %,2018,33.90023,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q4: Fourth,_T: Total,PCNT: %,2018,45.01556,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q5: Highest,_T: Total,PCNT: %,2018,58.91798,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,R: Rural,PCNT: %,2018,28.05172,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,U: Urban,PCNT: %,2018,42.82593,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2018,33.1655,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,F: Female,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2018,29.39619,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,M: Male,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2018,35.8653,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q1: Lowest,_T: Total,PCNT: %,2018,9.125316,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q2: Second,_T: Total,PCNT: %,2018,17.97147,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q3: Middle,_T: Total,PCNT: %,2018,31.14572,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
UNICEF:EDUCATION(1.0): Education,PAK: Pakistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q4: Fourth,_T: Total,PCNT: %,2018,44.49302,,,,AD: Adjusted,DHS 2017-18,,EOF: End of fieldwork,2017-18,,0: Not Known
